measure,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,total
10,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
15,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,
20,,,,,,,,,,,,,,,,,,,,,1,,2,2,3,,,1,
25,,,,,,,,,,,,,,,,,1,,,,1,2,,1,5,1,,,
30,,,,,,,,,,,,,,,,,,1,,1,2,1,5,3,1,,,,
35,,,,,,,,,,,,,1,1,,,,2,1,2,2,6,4,2,1,1,1,,
40,,,,,,,,,,1,,,,,,,,1,1,3,2,8,4,1,3,1,,,
45,,,,,,,,,1,1,1,1,1,1,1,2,1,3,4,7,5,4,3,1,,,,,
50,,,,,,,,,,,,,2,2,1,1,2,4,5,6,10,9,5,2,,,,,
55,,,,,,,,,1,1,,1,,,,4,1,3,5,10,9,10,2,1,1,,,,
60,,1,,,1,,1,,,,2,,1,2,,2,3,5,2,5,8,4,1,1,,,1,,
65,,1,1,,1,,,,1,,,,1,,,2,2,2,2,4,10,1,1,1,1,,,,
70,1,,,,1,,,,,1,1,,1,,,1,,4,3,3,2,1,2,,,1,,,
75,,,,,,,,,,1,,,,,1,,1,,1,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
total,1,2,1,0,3,0,1,0,3,5,4,2,7,6,3,12,11,25,24,41,52,46,31,17,18,4,2,1,
