,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,
10,,,,,,,,,,,,,,,,1,1,
15,,,,,,,,,,,,1,,2,,1,,
20,,,,,,,,,1,,1,,1,1,2,3,,
25,,,,,1,,,,1,1,,2,4,1,,,,
30,,,,,,,,3,2,2,,1,2,2,,,2,
35,,,,,,,2,3,4,3,9,1,1,,1,,,
40,,,,1,,,4,4,5,3,6,1,1,,,,,
45,,,,2,1,6,3,9,8,4,2,,,,2,,,
50,,,2,2,5,9,9,13,6,1,,,,,,,,
55,,,1,4,11,15,6,8,4,,,,,,,,,
60,,,2,7,9,10,3,4,1,1,1,,,,,,,
65,,,3,11,7,7,2,1,2,,,,,,,,,
70,1,,2,5,3,8,1,,,,,,,,,,,
75,,,1,1,1,1,,1,,,,,,,,,,
80,,1,,1,,,,,,,,,,,,,,
total,1,1,11,34,38,56,30,46,34,15,19,6,9,6,5,5,3,319
