year,price,maximum,crisis
1763,50,1,1
1764,35,,
1765,27,,
1766,24,,
1767,23,,
1768,21,,
1769,24,,
1770,28,,
1771,33,,
1772,38,,1
1773,100,1,1
1774,53,,
1775,40,,
1776,25,,
1777,17,,
1778,25,,
1779,33,,
1780,45,,
1781,55,,
1782,91,,
1783,167,1,1
1784,40,,
1785,25,,
1786,23,,
1787,22,,
1788,23,,
1789,24,,
1790,26,,
1791,33,,
1792,81,1,
1793,54,,1
1794,32,,
1795,14,,
1796,14,,
1797,15,,
1798,8,,
1799,17,,
1800,22,,
1801,23,,
1802,25,,
1803,65,1,
1804,48,,1
1805,33,,
1806,31,,
1807,28,,
1808,36,,
1809,40,,
1810,25,,1
1811,28,,
1812,44,,
1813,43,,
1814,30,,
1815,23,,1
1816,28,,
1817,41,,
1818,39,,
1819,42,,
1820,46,,
1821,38,,
1822,35,,
1823,33,,
1824,39,,
1825,39,,1
1826,48,1,1
1827,30,,
1828,22,,
1829,21,,
1830,21,,
1831,26,,
1832,22,,
1833,33,,
1834,40,1,
1835,25,,
1836,,,1
